	0	1
1647	5	21
1648	24	-14
1649	33	-7
1650	-15	-33
1651	4	-4
1652	2	-24
1653	1	5
1654	-7	7
1655	-14	34
1656	13	3
1657	-24	-8
1658	2	-12
1659	-21	3
1660	-19	23
1661	2	-2
1662	8	10
1663	11	3
1664	-1	5
1665	32	-24
1666	0	34
1667	23	-25
1668	-15	11
1669	0	-12
1670	4	-10
1671	-23	-7
1672	6	-20
1673	-7	-3
1674	15	17
1675	28	-8
1676	10	20
1677	7	-17
1678	-19	7
1679	-12	32
1680	-3	-1
1681	4	4
1682	8	10
1683	9	-11
1684	-1	-23
1685	-12	12
1686	-24	22
1687	7	7
1688	-14	12
1689	-13	15
1690	13	15
1691	-12	-12
1692	-2	8
1693	1	-11
1694	7	-27
1695	0	-4
1696	-7	-1
1697	-16	0
1698	-12	-18
1699	17	1
1700	-5	9
1701	48	8
1702	8	6
1703	3	15
1704	-20	-2
1705	5	-19
1706	-29	9
1707	-18	6
1708	-8	10
1709	27	11
1710	1	-5
1711	-42	2
1712	-3	-21
1713	-10	-14
1714	10	-8
1715	13	-27
1716	19	5
1717	-14	10
1718	-10	-4
1719	-1	-33
1720	-26	8
1721	1	-11
1722	-9	-15
1723	16	8
1724	-2	4
1725	-13	-5
1726	13	7
1727	16	16
1728	-15	7
1729	8	12
1730	0	-10
1731	-23	-7
1732	-23	7
1733	-10	-30
1734	-18	24
1735	-3	25
1736	20	6
1737	17	-3
1738	-1	-15
1739	10	-14
1740	-14	-4
1741	25	5
1742	-5	-7
1743	0	-12
1744	-15	7
1745	-18	-18
1746	-14	4
1747	-3	-11
1748	1	3
1749	36	8
1750	4	-10
1751	-27	13
1752	-6	-4
1753	-3	13
1754	-1	5
1755	4	4
1756	-16	-26
1757	-11	9
1758	-9	29
1759	-2	6
1760	-11	7
1761	2	18
1762	-6	4
1763	17	-27
1764	-11	19
1765	32	-12
1766	0	-14
1767	-11	33
1768	-12	14
1769	-9	-5
1770	17	3
1771	2	-6
1772	10	-24
1773	-17	-9
1774	-19	7
1775	16	8
1776	-17	5
1777	-10	-18
1778	-10	8
1779	35	3
1780	-21	9
1781	8	-8
1782	12	-6
1783	-33	3
1784	-4	10
1785	-31	37
1786	3	5
1787	10	-2
1788	14	4
1789	5	-7
1790	-25	29
1791	16	-8
1792	18	-16
1793	1	5
1794	-3	-9
1795	-30	-2
1796	-8	-10
1797	-19	17
1798	-15	15
1799	12	-12
1800	-3	19
1801	14	-10
1802	28	-18
1803	-1	-17
1804	-7	23
1805	-12	28
1806	30	-28
1807	-37	-1
1808	-4	-22
1809	-19	5
1810	9	-17
1811	4	0
1812	-2	-16
1813	-35	17
1814	-11	-5
1815	-2	-6
1816	-3	-13
1817	-8	-20
1818	6	-20
1819	-1	-1
1820	5	-1
1821	10	2
1822	8	-26
1823	-5	-5
1824	24	-10
1825	5	-23
1826	17	3
1827	20	8
1828	26	-4
1829	-27	5
1830	25	3
1831	-38	6
1832	-13	-3
1833	2	-2
1834	-4	-22
1835	5	-15
1836	11	-7
1837	-20	-4
1838	42	-40
1839	21	25
1840	12	6
1841	23	-13
1842	15	17
1843	-12	-12
1844	14	8
1845	23	3
1846	-5	-7
1847	-2	18
1848	5	-21
1849	2	14
1850	16	22
1851	3	27
1852	-3	-21
1853	-12	0
1854	26	-4
1855	-25	27
1856	-8	-6
1857	-11	1
1858	-3	-1
1859	-12	-20
1860	-4	2
1861	-17	23
1862	3	-3
1863	-32	16
1864	-9	13
1865	-6	38
1866	12	-14
1867	-19	5
1868	13	-33
1869	2	26
1870	-20	-6
1871	-1	-9
1872	28	-22
1873	-5	7
1874	11	13
1875	0	12
1876	12	2
1877	9	13
1878	25	-17
1879	-4	-12
